CIA - The World Factbook --  Manpower available for military service   

| Rank | country | Manpower available for military service | Date of Information |
| 297 | Fiji | 233,240.00 | 2010 est. |
| 298 | Fiji | 222,587.00 | 2010 est. |
| 299 | Djibouti | 221,411.00 | 2010 est. |
| 300 | Bhutan | 202,407.00 | 2010 est. |
| 301 | Guyana | 189,840.00 | 2010 est. |
| 302 | Comoros | 184,236.00 | 2010 est. |
| 303 | Comoros | 183,363.00 | 2010 est. |
| 304 | Bhutan | 180,349.00 | 2010 est. |
| 305 | Djibouti | 170,386.00 | 2010 est. |
| 306 | Qatar | 165,572.00 | 2010 est. |
| 307 | Maldives | 156,319.00 | 2010 est. |
| 308 | Equatorial Guinea | 151,147.00 | 2010 est. |
| 309 | Macau | 150,780.00 | 2010 est. |
| 310 | Equatorial Guinea | 150,345.00 | 2010 est. |
| 311 | Solomon Islands | 142,913.00 | 2010 est. |
| 312 | Cabo Verde | 136,956.00 | 2010 est. |
| 313 | Suriname | 134,439.00 | 2010 est. |
| 314 | Suriname | 134,218.00 | 2010 est. |
| 315 | Cabo Verde | 132,087.00 | 2010 est. |
| 316 | Luxembourg | 118,665.00 | 2010 est. |
| 317 | Brunei | 117,536.00 | 2010 est. |
| 318 | Luxembourg | 117,456.00 | 2010 est. |
| 319 | Brunei | 112,688.00 | 2010 est. |
| 320 | Maldives | 98,815.00 | 2010 est. |
| 321 | Malta | 95,499.00 | 2010 est. |
| 322 | Malta | 90,919.00 | 2010 est. |
| 323 | Bahamas, The | 85,568.00 | 2010 est. |
| 324 | French Polynesia | 82,722.00 | 2010 est. |
| 325 | Belize | 81,284.00 | 2010 est. |
| 326 | Belize | 79,185.00 | 2010 est. |
| 327 | Iceland | 75,337.00 | 2010 est. |
| 328 | Barbados | 73,835.00 | 2010 est. |
| 329 | Barbados | 73,820.00 | 2010 est. |
| 330 | New Caledonia | 68,219.00 | 2010 est. |
| 331 | Vanuatu | 62,216.00 | 2010 est. |
| 332 | Samoa | 47,906.00 | 2010 est. |
| 333 | Saint Lucia | 41,414.00 | 2010 est. |
| 334 | Sao Tome and Principe | 39,845.00 | 2010 est. |
| 335 | Sao Tome and Principe | 39,182.00 | 2010 est. |
| 336 | Saint Vincent and the Grenadines | 27,809.00 | 2010 est. |
| 337 | Grenada | 27,468.00 | 2010 est. |
| 338 | Micronesia, Federated States of | 26,712.00 | 2010 est. |
| 339 | Seychelles | 26,257.00 | 2010 est. |
| 340 | Aruba | 26,202.00 | 2010 est. |
| 341 | Kiribati | 25,190.00 | 2010 est. |
| 342 | Aruba | 24,891.00 | 2010 est. |
| 343 | Tonga | 24,460.00 | 2010 est. |
| 344 | Antigua and Barbuda | 24,056.00 | 2010 est. |
| 345 | Tonga | 24,041.00 | 2010 est. |
| 346 | Seychelles | 23,996.00 | 2010 est. |
| 347 | Andorra | 22,390.00 | 2010 est. |
| 348 | Antigua and Barbuda | 21,141.00 | 2010 est. |
| 349 | Dominica | 19,075.00 | 2010 est. |
| 350 | Marshall Islands | 16,446.00 | 2010 est. |
| 351 | Greenland | 15,280.00 | 2010 est. |
| 352 | Bermuda | 15,081.00 | 2010 est. |
| 353 | Saint Kitts and Nevis | 13,506.00 | 2010 est. |
| 354 | Saint Kitts and Nevis | 13,089.00 | 2010 est. |
| 355 | Cayman Islands | 12,238.00 | 2010 est. |
| 356 | Faroe Islands | 11,831.00 | 2010 est. |
| 357 | Liechtenstein | 8,009.00 | 2010 est. |
| 358 | British Virgin Islands | 7,266.00 | 2010 est. |
| 359 | Gibraltar | 7,037.00 | 2010 est. |
| 360 | Palau | 6,987.00 | 2010 est. |
| 361 | San Marino | 6,892.00 | 2010 est. |
| 362 | Monaco | 5,749.00 | 2010 est. |
| 363 | Anguilla | 3,641.00 | 2010 est. |
| 364 | Nauru | 2,542.00 | 2010 est. |
| 365 | Montserrat | 1,353.00 | 2010 est. |


