CIA - The World Factbook --  GDP (official exchange rate)   

| Rank | country | GDP (official exchange rate) | Date of Information |
| 211 | American Samoa | $ 462,200,000 | 2005 |
| 212 | Micronesia, Federated States of | $ 339,000,000 | 2013 est. |
| 213 | Sao Tome and Principe | $ 311,000,000 | 2013 est. |
| 214 | Palau | $ 221,000,000 | 2011 est. |
| 215 | Saint Pierre and Miquelon | $ 215,300,000 | 2006 est. |
| 216 | Marshall Islands | $ 193,000,000 | 2013 est. |
| 217 | Cook Islands | $ 183,200,000 | 2005 est. |
| 218 | Anguilla | $ 175,400,000 | 2009 est. |
| 219 | Kiribati | $ 173,000,000 | 2013 est. |
| 220 | Falkland Islands (Islas Malvinas) | $ 164,500,000 | 2007 est. |
| 221 | Tuvalu | $ 38,000,000 | 2013 est. |
| 222 | Niue | $ 10,010,000 | 2003 |


