CIA - The World Factbook --  Sex ratio   

This entry includes the number of males for each female in five age groups - at birth, under 15 years, 15-64 years, 65 years and over, and for the total population. Sex ratio at birth has recently emerged as an indicator of certain kinds of sex discrimination in some countries. For instance, high sex ratios at birth in some Asian countries are now attributed to sex-selective abortion and infanticide due to a strong preference for sons. This will affect future marriage patterns and fertility patterns. Eventually, it could cause unrest among young adult males who are unable to find partners.

| Rank | country | (male(s)/female) | Date of Information |
| 421 | Saint Vincent and the Grenadines | 1.03 | 2011 est. |
| 422 | Rwanda | 1.03 | 2011 est. |
| 423 | Seychelles | 1.03 | 2011 est. |
| 424 | Senegal | 1.03 | 2011 est. |
| 425 | Sierra Leone | 1.03 | 2011 est. |
| 426 | Somalia | 1.03 | 2011 est. |
| 427 | Somalia | 1.03 | 2011 est. |
| 428 | Spain | 1.03 | 2011 est. |
| 429 | Sudan | 1.03 | 2011 est. |
| 430 | Syria | 1.03 | 2011 est. |
| 431 | Syria | 1.03 | 2011 est. |
| 432 | Niger | 1.03 | 2011 est. |
| 433 | Vanuatu | 1.03 | 2011 est. |
| 434 | Suriname | 1.03 | 2011 est. |
| 435 | Paraguay | 1.03 | 2011 est. |
| 436 | Peru | 1.03 | 2011 est. |
| 437 | Guinea-Bissau | 1.03 | 2011 est. |
| 438 | Qatar | 1.03 | 2011 est. |
| 439 | Liberia | 1.03 | 2011 est. |
| 440 | Lesotho | 1.03 | 2011 est. |
| 441 | Madagascar | 1.03 | 2011 est. |
| 442 | Mali | 1.03 | 2011 est. |
| 443 | Morocco | 1.03 | 2011 est. |
| 444 | Mauritania | 1.03 | 2011 est. |
| 445 | Malta | 1.03 | 2011 est. |
| 446 | Oman | 1.03 | 2011 est. |
| 447 | Malaysia | 1.03 | 2011 est. |
| 448 | Malaysia | 1.03 | 2011 est. |
| 449 | Iran | 1.03 | 2011 est. |
| 450 | Iran | 1.03 | 2011 est. |
| 451 | Israel | 1.03 | 2011 est. |
| 452 | Cote d'Ivoire | 1.03 | 2011 est. |
| 453 | Cote d'Ivoire | 1.03 | 2011 est. |
| 454 | Iraq | 1.03 | 2011 est. |
| 455 | Iraq | 1.03 | 2011 est. |
| 456 | Jamaica | 1.03 | 2011 est. |
| 457 | Jordan | 1.03 | 2011 est. |
| 458 | Jordan | 1.03 | 2011 est. |
| 459 | Korea, North | 1.03 | 2011 est. |
| 460 | Gambia, The | 1.03 | 2011 est. |
| 461 | Gabon | 1.03 | 2011 est. |
| 462 | Ghana | 1.03 | 2011 est. |
| 463 | Greenland | 1.03 | 2011 est. |
| 464 | Guam | 1.03 | 2011 est. |
| 465 | Guinea | 1.03 | 2011 est. |
| 466 | Iceland | 1.03 | 2011 est. |
| 467 | Central African Republic | 1.03 | 2011 est. |
| 468 | Cape Verde | 1.03 | 2011 est. |
| 469 | Djibouti | 1.03 | 2011 est. |
| 470 | Dominican Republic | 1.03 | 2011 est. |
| 471 | Egypt | 1.03 | 2011 est. |
| 472 | Egypt | 1.03 | 2011 est. |
| 473 | Equatorial Guinea | 1.03 | 2011 est. |
| 474 | Equatorial Guinea | 1.03 | 2011 est. |
| 475 | Eritrea | 1.03 | 2011 est. |
| 476 | Ethiopia | 1.03 | 2011 est. |
| 477 | Finland | 1.03 | 2011 est. |
| 478 | Fiji | 1.03 | 2011 est. |
| 479 | Micronesia, Federated States of | 1.03 | 2011 est. |
| 480 | Belize | 1.03 | 2011 est. |
| 481 | Burundi | 1.03 | 2011 est. |
| 482 | Chad | 1.03 | 2011 est. |
| 483 | Congo, Republic of the | 1.03 | 2011 est. |
| 484 | Congo, Democratic Republic of the | 1.03 | 2011 est. |
| 485 | Cameroon | 1.03 | 2011 est. |
| 486 | Comoros | 1.03 | 2011 est. |
| 487 | Antigua and Barbuda | 1.03 | 2011 est. |
| 488 | Afghanistan | 1.03 | 2011 est. |
| 489 | Afghanistan | 1.03 | 2011 est. |
| 490 | Australia | 1.03 | 2011 est. |
| 491 | Anguilla | 1.03 | 2011 est. |
| 492 | Bahrain | 1.03 | 2011 est. |
| 493 | Bahrain | 1.03 | 2011 est. |
| 494 | Botswana | 1.03 | 2011 est. |
