CIA - The World Factbook --  Imports - partners   

| Rank | country | (%) | Date of Information |
| 475 | Korea, South | 8.30 | 2011 est. |
| 476 | Luxembourg | 8.30 | 2012 |
| 477 | China | 8.30 | 2013 est. |
| 478 | Syria | 8.30 | 2012 |
| 479 | Lebanon | 8.30 | 2012 |
| 480 | Kuwait | 8.20 | 2013 est. |
| 481 | Burma | 8.20 | 2012 |
| 482 | Latvia | 8.20 | 2012 |
| 483 | Libya | 8.20 | 2012 |
| 484 | Costa Rica | 8.20 | 2012 |
| 485 | Trinidad and Tobago | 8.10 | 2012 |
| 486 | Suriname | 8.10 | 2012 |
| 487 | Finland | 8.10 | 2012 |
| 488 | Gambia, The | 8.10 | 2012 |
| 489 | Malaysia | 8.10 | 2012 |
| 490 | Ukraine | 8.00 | 2012 |
| 491 | China | 8.00 | 2013 est. |
| 492 | Slovakia | 8.00 | 2012 |
| 493 | Congo, Democratic Republic of the | 8.00 | 2012 |
| 494 | United Kingdom | 8.00 | 2012 |
| 495 | Georgia | 8.00 | 2013 est. |
| 496 | Hong Kong | 8.00 | 2012 est. |
| 497 | Equatorial Guinea | 8.00 | 2012 |
| 498 | Georgia | 8.00 | 2013 est. |
| 499 | Macedonia | 7.90 | 2012 est. |
| 500 | Cabo Verde | 7.90 | 2012 |
| 501 | Papua New Guinea | 7.90 | 2012 |
| 502 | Kazakhstan | 7.90 | 2012 |
| 503 | Togo | 7.90 | 2012 |
| 504 | Sudan | 7.90 | 2012 |
| 505 | Greece | 7.90 | 2013 est. |
| 506 | Burundi | 7.90 | 2012 |
| 507 | Australia | 7.90 | 2012 |
| 508 | Kyrgyzstan | 7.90 | 2012 |
| 509 | Greece | 7.80 | 2013 est. |
| 510 | India | 7.80 | 2012 |
| 511 | China | 7.80 | 2013 est. |
| 512 | Mauritania | 7.80 | 2012 |
| 513 | Mauritania | 7.80 | 2012 |
| 514 | Trinidad and Tobago | 7.70 | 2012 |
| 515 | Sri Lanka | 7.70 | 2012 |
| 516 | South Africa | 7.70 | 2012 |
| 517 | Libya | 7.70 | 2012 |
| 518 | Dominican Republic | 7.70 | 2012 |
| 519 | Czech Republic | 7.70 | 2012 |
| 520 | Azerbaijan | 7.70 | 2013 est. |
| 521 | Angola | 7.70 | 2012 |
| 522 | Germany | 7.61 | 2013 est. |
| 523 | France | 7.60 | 2012 |
| 524 | Sierra Leone | 7.60 | 2012 |
| 525 | Maldives | 7.60 | 2012 |
| 526 | Egypt | 7.60 | 2012 |
| 527 | Guinea | 7.60 | 2012 |
| 528 | Ireland | 7.60 | 2012 |
| 529 | Korea, South | 7.60 | 2011 est. |
| 530 | Latvia | 7.60 | 2012 |
| 531 | United Kingdom | 7.50 | 2012 |
| 532 | Denmark | 7.50 | 2012 |
| 533 | France | 7.40 | 2012 |
| 534 | Guatemala | 7.40 | 2012 |
| 535 | South Africa | 7.40 | 2012 |
| 536 | Yemen | 7.40 | 2013 est. |
| 537 | Hungary | 7.40 | 2012 |
| 538 | Iran | 7.40 | 2012 |
| 539 | Brazil | 7.40 | 2012 |
| 540 | Czech Republic | 7.40 | 2012 |
| 541 | Guinea-Bissau | 7.30 | 2012 |
| 542 | Philippines | 7.30 | 2012 |
| 543 | Laos | 7.30 | 2012 |
| 544 | Uruguay | 7.30 | 2012 |
| 545 | Tunisia | 7.30 | 2012 |
| 546 | Syria | 7.30 | 2012 |
| 547 | Israel | 7.30 | 2012 |
| 548 | Djibouti | 7.30 | 2012 |
| 549 | Cyprus | 7.30 | 2012 |
| 550 | Luxembourg | 7.20 | 2012 |
| 551 | Lebanon | 7.20 | 2012 |
| 552 | Moldova | 7.20 | 2012 est. |
