CIA - The World Factbook --  Radio broadcast stations   

| Rank | country | Radio broadcast stations | Date of Information |
| 326 | Central African Republic | 5.00 | 2001 |
| 327 | Sao Tome and Principe | 5.00 | 2001 |
| 328 | Sri Lanka | 4.00 | 2007 |
| 329 | Chad | 4.00 | 2001 |
| 330 | Togo | 4.00 | 1998 |
| 331 | Tonga | 4.00 | 2001 |
| 332 | Vanuatu | 4.00 | 2001 |
| 333 | Zambia | 4.00 | 2001 |
| 334 | Mauritius | 4.00 | 2001 |
| 335 | Mongolia | 4.00 | 2009 |
| 336 | Namibia | 4.00 | 2001 |
| 337 | Nepal | 4.00 | 2008 |
| 338 | Netherlands | 4.00 | 2009 |
| 339 | New Zealand | 4.00 | 1998 |
| 340 | Niger | 4.00 | 2001 |
| 341 | Palau | 4.00 | 2001 |
| 342 | Philippines | 4.00 | 2008 |
| 343 | Saint Pierre and Miquelon | 4.00 | 1998 |
| 344 | Jamaica | 4.00 | 2008 |
| 345 | Lebanon | 4.00 | 2009 |
| 346 | Liechtenstein | 4.00 | 1998 |
| 347 | Comoros | 4.00 | 2001 |
| 348 | Dominica | 4.00 | 2009 |
| 349 | Dominican Republic | 4.00 | 1998 |
| 350 | Gabon | 4.00 | 2001 |
| 351 | Georgia | 4.00 | 1998 |
| 352 | Germany | 4.00 | 1998 |
| 353 | Greece | 4.00 | 1998 |
| 354 | Guinea-Bissau | 4.00 | 2001 |
| 355 | Bermuda | 4.00 | 2009 |
| 356 | Botswana | 4.00 | 2001 |
| 357 | Burundi | 4.00 | 2001 |
| 358 | Suriname | 4.00 | 2008 |
| 359 | Suriname | 3.00 | 2008 |
| 360 | Cameroon | 3.00 | 2001 |
| 361 | Swaziland | 3.00 | 2004 |
| 362 | Switzerland | 3.00 | 2008 |
| 363 | Switzerland | 3.00 | 2008 |
| 364 | United Kingdom | 3.00 | 2008 |
| 365 | Uzbekistan | 3.00 | 2008 |
| 366 | Venezuela | 3.00 | 2008 |
| 367 | Marshall Islands | 3.00 | 2005 |
| 368 | Norfolk Island | 3.00 | 2005 |
| 369 | Oman | 3.00 | 1999 |
| 370 | Saint Kitts and Nevis | 3.00 | 2008 |
| 371 | Saint Martin | 3.00 | 2007 |
| 372 | Holy See (Vatican City) | 3.00 | 2008 |
| 373 | Iceland | 3.00 | 2008 |
| 374 | Kyrgyzstan | 3.00 | 2009 |
| 375 | Laos | 3.00 | 2010 |
| 376 | Laos | 3.00 | 2010 |
| 377 | Lesotho | 3.00 | 2007 |
| 378 | Libya | 3.00 | 2001 |
| 379 | Libya | 3.00 | 2001 |
| 380 | Congo, Democratic Republic of the | 3.00 | 2001 |
| 381 | Congo, Republic of the | 3.00 | 2001 |
| 382 | Cote d'Ivoire | 3.00 | 1998 |
| 383 | Equatorial Guinea | 3.00 | 2001 |
| 384 | Gambia, The | 3.00 | 2001 |
| 385 | Ghana | 3.00 | 2007 |
| 386 | Guinea | 3.00 | 2006 |
| 387 | Guyana | 3.00 | 2009 |
| 388 | Guyana | 3.00 | 2009 |
| 389 | American Samoa | 3.00 | 2005 |
| 390 | Anguilla | 3.00 | 2009 |
| 391 | Antigua and Barbuda | 3.00 | 2008 |
| 392 | Bahamas, The | 3.00 | 2009 |
| 393 | Bahrain | 3.00 | 1998 |
| 394 | Burkina Faso | 3.00 | 2007 |
| 395 | Burma | 3.00 | 2007 |
| 396 | Swaziland | 3.00 | 2004 |
| 397 | American Samoa | 2.00 | 2005 |
