CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| 304 | Saint Vincent and the Grenadines | 36.60 | 2014 est. |
| 305 | Antigua and Barbuda | 35.90 | 2014 est. |
| 306 | Singapore | 35.80 | 2014 est. |
| 307 | Hong Kong | 35.50 | 2014 est. |
| 308 | Brunei | 35.30 | 2014 est. |
| 309 | Burma | 35.00 | 2014 est. |
| 310 | Saint Lucia | 34.90 | 2014 est. |
| 311 | Brazil | 34.40 | 2014 est. |
| 312 | Oman | 34.40 | 2014 est. |
| 313 | Iran | 33.90 | 2014 est. |
| 314 | Kuwait | 33.80 | 2014 est. |
| 315 | Uruguay | 33.80 | 2014 est. |
| 316 | Tunisia | 33.40 | 2014 est. |
| 317 | Bahrain | 33.30 | 2014 est. |
| 318 | Virgin Islands | 33.30 | 2014 est. |
| 319 | Italy | 33.30 | 2014 est. |
| 320 | New Caledonia | 33.20 | 2014 est. |
| 321 | Costa Rica | 33.20 | 2014 est. |
| 322 | Ireland | 32.70 | 2014 est. |
| 323 | Germany | 32.30 | 2014 est. |
| 324 | French Polynesia | 32.00 | 2014 est. |
| 325 | Vietnam | 31.90 | 2014 est. |
| 326 | Seychelles | 31.70 | 2014 est. |
| 327 | Korea, North | 31.10 | 2014 est. |
| 328 | Iceland | 31.10 | 2014 est. |
| 329 | Sweden | 31.10 | 2014 est. |
| 330 | Finland | 31.00 | 2014 est. |
| 331 | Bahrain | 30.90 | 2014 est. |
| 332 | Azerbaijan | 30.70 | 2014 est. |
| 333 | New Zealand | 30.70 | 2014 est. |
| 334 | Greece | 30.50 | 2014 est. |
| 335 | Oman | 30.40 | 2014 est. |
| 336 | Kuwait | 30.40 | 2014 est. |
| 337 | Chile | 30.20 | 2014 est. |
| 338 | Trinidad and Tobago | 29.80 | 2014 est. |
| 339 | Bahamas, The | 29.60 | 2014 est. |
| 340 | Bulgaria | 29.50 | 2014 est. |
| 341 | United States | 29.40 | 2014 est. |
| 342 | Armenia | 29.10 | 2014 est. |
| 343 | Albania | 29.00 | 2014 est. |
| 344 | Curacao | 29.00 | 2014 est. |
| 345 | Australia | 28.90 | 2014 est. |
| 346 | Puerto Rico | 28.80 | 2014 est. |
| 347 | France | 28.80 | 2014 est. |
| 348 | Portugal | 28.70 | 2014 est. |
| 349 | France | 28.60 | 2014 est. |
| 350 | Norway | 28.50 | 2014 est. |
| 351 | Denmark | 28.50 | 2014 est. |
| 352 | Belgium | 28.40 | 2014 est. |
| 353 | Lebanon | 28.30 | 2014 est. |
| 354 | Latvia | 28.10 | 2014 est. |
| 355 | Croatia | 27.90 | 2014 est. |
| 356 | Bahrain | 27.90 | 2014 est. |
| 357 | Estonia | 27.70 | 2014 est. |
| 358 | Austria | 27.60 | 2014 est. |
| 359 | United Kingdom | 27.60 | 2014 est. |
| 360 | United Kingdom | 27.20 | 2014 est. |
