CIA - The World Factbook 2000 -- Merchant marine

| Country | Merchant marine |
| | *ships by type:* bulk 431, cargo 424, chemical tanker 54, combination bulk 16, combination ore/oil 14, container 64, liquified gas 2, livestock carrier 3, multi-functional large load carrier 4, passenger 7, petroleum tanker 331, refrigerated cargo 44, roll-on/roll-off 48, short-sea passenger 21, specialized tanker 5, vehicle carrier 16 (1999 est.) |
| | *note:* a flag of convenience registry; includes ships from 49 countries among which includes Greece 445, Russia 51, Switzerland 45, Italy 44, Norway 40, Croatia 26, Turkey 35, Germany 32, Georgia 23, and Monaco 24 (1998 est.) |
| **Man, Isle of** | *total:* 144 ships (1,000 GRT or over) totaling 4,333,826 GRT/7,254,867 DWT |
| | *ships by type:* bulk 23, cargo 6, chemical tanker 13, combination bulk 3, container 20, liquified gas 13, petroleum tanker 44, refrigerated cargo 2, roll-on/roll-off 15, vehicle carrier 5 (1999 est.) |
| | *note:* a flag of convenience registry; UK owns 8 ships, Denmark 1, Sweden 1, Belgium 1, and Netherlands 1 (1998 est.) |
| **Marshall Islands** | *total:* 143 ships (1,000 GRT or over) totaling 6,801,336 GRT/11,785,065 DWT |
| | *ships by type:* bulk 48, cargo 8, chemical tanker 5, combination bulk 1, container 19, liquified gas 2, multi-functional large load carrier 1, petroleum tanker 58, vehicle carrier 1 (1999 est.) |
| | *note:* a flag of convenience registry; includes the ships of Canada 1, China 1, Germany 1, Japan 1, and US 7 (1998 est.) |
| **Martinique** | none (1999 est.) |
| **Mauritania** | none (1999 est.) |
| **Mauritius** | *total:* 12 ships (1,000 GRT or over) totaling 126,358 GRT/173,079 DWT |
| | *ships by type:* cargo 3, combination bulk 2, container 4, liquified gas 1, refrigerated cargo 2 (1999 est.) |
| | *note:* a flag of convenience registry; India owns 1 ship (1998 est.) |
| **Mayotte** | none (1999 est.) |
| **Mexico** | *total:* 46 ships (1,000 GRT or over) totaling 633,219 GRT/970,947 DWT |
| | *ships by type:* bulk 2, cargo 1, chemical tanker 4, liquified gas 4, petroleum tanker 29, roll-on/roll-off 3, short-sea passenger 3 (1999 est.) |
| **Micronesia, Federated States of** | none (1999 est.) |
| **Monaco** | none (1999 est.) |
| **Montserrat** | none (1999 est.) |
| **Morocco** | *total:* 40 ships (1,000 GRT or over) totaling 218,987 GRT/263,191 DWT |
| | *ships by type:* cargo 9, chemical tanker 6, container 3, passenger 1, petroleum tanker 3, refrigerated cargo 9, roll-on/roll-off 8, short-sea passenger 1 (1999 est.) |
| **Mozambique** | *total:* 3 ships (1,000 GRT or over) totaling 4,125 GRT/7,024 DWT |
| | *ships by type:* cargo 3 (1999 est.) |
| **Namibia** | none (1999 est.) |
| **Nauru** | none (1999 est.) |
| **Netherlands** | *total:* 563 ships (1,000 GRT or over) totaling 4,035,899 GRT/4,576,841 DWT |
